City,Lat,Lon,Race,Count
"Phoenix, AZ",33.4486,-112.0773,All,31
"Houston, TX",29.7589,-95.3677,All,26
"Chicago, IL",41.8756,-87.6244,All,25
"Miami, FL",25.7743,-80.1937,All,20
"Columbus, OH",39.9623,-83.0007,All,17
"Austin, TX",30.2711,-97.7437,All,16
"Tucson, AZ",32.2217,-110.9265,All,14
"Albuquerque, NM",35.0841,-106.651,All,14
"Indianapolis, IN",39.7683,-86.1584,All,14
"Bakersfield, CA",35.3739,-119.0195,All,13
"Tulsa, OK",36.1012,-95.9251,All,12
"Charlotte, NC",35.2271,-80.8431,All,11
"Washington, DC",38.895,-77.0366,All,11
"Denver, CO",39.7348,-104.9653,All,11
"Fresno, CA",36.6714,-119.8155,All,11
"Jacksonville, FL",30.3322,-81.6557,All,11
"Orlando, FL",28.5421,-81.379,All,9
"Philadelphia, PA",40.0115,-75.1327,All,9
"Dallas, TX",32.7763,-96.7969,All,9
"Omaha, NE",41.2587,-95.9379,All,8
"Baltimore, MD",39.2909,-76.6108,All,8
"Reno, NV",39.5293,-119.8137,All,8
"Atlanta, GA",33.7491,-84.3902,All,7
"Glendale, AZ",33.539,-112.1858,All,7
"Portland, OR",45.5202,-122.6742,All,7
"Oakland, CA",37.8045,-122.2714,All,7
"Stockton, CA",37.9577,-121.2908,All,7
"Norfolk, VA",36.8465,-76.2916,All,7
"Milwaukee, WI",43.0115,-87.9735,All,7
"Aurora, CO",39.7294,-104.8319,All,6
"Seattle, WA",47.6038,-122.3301,All,6
"Louisville, KY",38.2542,-85.7594,All,6
"Tempe, AZ",33.4144,-111.9094,All,6
"Mesa, AZ",33.4153,-111.8313,All,6
"Hemet, CA",33.7475,-116.972,All,6
"Westminster, CO",39.8367,-105.0372,All,6
"Cincinnati, OH",39.1015,-84.5125,All,5
"Memphis, TN",35.149,-90.0516,All,5
"Tampa, FL",27.9478,-82.4584,All,5
"Detroit, MI",42.3487,-83.0567,All,5
"Sacramento, CA",38.4732,-121.2981,All,5
"Brooklyn, NY",40.6922,-73.9902,All,5
"Boise, ID",43.615,-116.2044,All,5
"Fairbanks, AK",64.8378,-147.7164,All,5
"Boston, MA",42.3605,-71.0596,All,5
"Newark, NJ",40.7357,-74.1724,All,5
"Anaheim, CA",33.8348,-117.9117,All,5
"Modesto, CA",37.6391,-120.9969,All,5
"Arlington, TX",32.7356,-97.1071,All,5
