percent_completed_hs,poverty_rate,City,Abbrev,State,Count,Category
80.7,23.1,Phoenix,AZ,Arizona,31,>=10
76.7,22.5,Houston,TX,Texas,26,>=10
82.3,22.3,Chicago,IL,Illinois,25,>=10
73.2,28.3,Miami,FL,Florida,20,>=10
88.5,21.7,Columbus,OH,Ohio,17,>=10
87.5,18,Austin,TX,Texas,16,>=10
84.2,25.3,Tucson,AZ,Arizona,14,>=10
84.9,21.3,Indianapolis,IN,Indiana,14,>=10
89,19.2,Albuquerque,NM,New Mexico,14,>=10
79.6,19.8,Bakersfield,CA,California,13,>=10
86.9,20.2,Tulsa,OK,Oklahoma,12,>=10
89.3,18,Washington,DC,District of Columbia,11,>=10
88.2,17.7,Jacksonville,FL,Florida,11,>=10
75.2,29.8,Fresno,CA,California,11,>=10
86.1,17.3,Denver,CO,Colorado,11,>=10
88.4,16.8,Charlotte,NC,North Carolina,11,>=10
82,26.4,Philadelphia,PA,Pennsylvania,9,<10
89.5,20.2,Orlando,FL,Florida,9,<10
74.5,24,Dallas,TX,Texas,9,<10
85.7,18.3,Reno,NV,Nevada,8,<10
88,16.7,Omaha,NE,Nebraska,8,<10
82.5,23.7,Baltimore,MD,Maryland,8,<10
74.9,25.3,Stockton,CA,California,7,<10
91.3,18,Portland,OR,Oregon,7,<10
80.4,20.4,Oakland,CA,California,7,<10
87,21,Norfolk,VA,Virginia,7,<10
82.1,28.7,Milwaukee,WI,Wisconsin,7,<10
83.6,21.7,Glendale,AZ,Arizona,7,<10
89,24.6,Atlanta,GA,Georgia,7,<10
91,9,Westminster,CO,Colorado,6,<10
91.7,21.6,Tempe,AZ,Arizona,6,<10
93.4,13.5,Seattle,WA,Washington,6,<10
87.5,16.5,Mesa,AZ,Arizona,6,<10
79.5,26,Hemet,CA,California,6,<10
86.5,15.3,Aurora,CO,Colorado,6,<10
86.6,21.8,Tampa,FL,Florida,5,<10
83.4,22,Sacramento,CA,California,5,<10
72.3,29.7,Newark,NJ,New Jersey,5,<10
81.2,20.5,Modesto,CA,California,5,<10
83.7,27.6,Memphis,TN,Tennessee,5,<10
87,20.7,Kingman,AZ,Arizona,5,<10
91.2,13.1,Fairbanks,AK,Alaska,5,<10
78.3,40.3,Detroit,MI,Michigan,5,<10
85.8,30.5,Cincinnati,OH,Ohio,5,<10
85.2,21.5,Boston,MA,Massachusetts,5,<10
84.7,17.5,Arlington,TX,Texas,5,<10
75.8,16.5,Anaheim,CA,California,5,<10
87.5,17.3,Wichita,KS,Kansas,4,<10
89.3,10.6,Weatherford,TX,Texas,4,<10
89.7,14.8,Vancouver,WA,Washington,4,<10
87.6,18,Tacoma,WA,Washington,4,<10
88.3,25.7,Springfield,MO,Missouri,4,<10
91.6,19.9,Spokane,WA,Washington,4,<10
83.2,25.5,Richmond,VA,Virginia,4,<10
85.3,25,Pueblo,CO,Colorado,4,<10
70.6,18.1,Ontario,CA,California,4,<10
73.3,35,North,SC,South Carolina,4,<10
79.9,20.2,Lynn,MA,Massachusetts,4,<10
79.7,15.1,Irving,TX,Texas,4,<10
90.2,18.2,Huntsville,AL,Alabama,4,<10
92.5,18.3,Hilo,HI,Hawaii,4,<10
87.1,19.2,Durham,NC,North Carolina,4,<10
88.2,16.4,Deltona,FL,Florida,4,<10
77.4,36.2,Cleveland,OH,Ohio,4,<10
92,24.9,Chico,CA,California,4,<10
85.2,22.6,Chattanooga,TN,Tennessee,4,<10
96.3,23.1,Boulder,CO,Colorado,4,<10
92.8,12.8,Billings,MT,Montana,4,<10
83.4,17,Amarillo,TX,Texas,4,<10
86.3,26.5,Akron,OH,Ohio,4,<10
76.5,37.3,York,PA,Pennsylvania,3,<10
83.2,24.5,Wilmington,DE,Delaware,3,<10
82.6,35,Valdosta,GA,Georgia,3,<10
91.4,7,Temecula,CA,California,3,<10
91.4,7.5,Sunnyvale,CA,California,3,<10
85.5,23.6,Shreveport,LA,Louisiana,3,<10
96.2,9.5,Scottsdale,AZ,Arizona,3,<10
92.4,12.1,Ruidoso,NM,New Mexico,3,<10
71.4,29.1,Paterson,NJ,New Jersey,3,<10
76.4,12.1,Odessa,TX,Texas,3,<10
80.9,9.5,Napa,CA,California,3,<10
86.4,32.2,Muncie,IN,Indiana,3,<10
93.7,34.1,Morgantown,WV,West Virginia,3,<10
71.9,26,Mission,TX,Texas,3,<10
88.6,21.9,Minneapolis,MN,Minnesota,3,<10
86.4,23,Medford,OR,Oregon,3,<10
94.1,9.1,Loveland,CO,Colorado,3,<10
93.1,15.9,Lincoln,NE,Nebraska,3,<10
66.3,30.8,Laredo,TX,Texas,3,<10
87.4,19.2,Lakeland,FL,Florida,3,<10
87.8,25.7,Knoxville,TN,Tennessee,3,<10
73.7,19.5,Indio,CA,California,3,<10
79.9,20.9,Houma,LA,Louisiana,3,<10
72.7,16.5,Hobbs,NM,New Mexico,3,<10
87.7,19.3,Greenville,SC,South Carolina,3,<10
83.2,20.8,Gastonia,NC,North Carolina,3,<10
92.3,6.1,Fremont,CA,California,3,<10
72.5,16.1,Fontana,CA,California,3,<10
91.3,24.2,Flagstaff,AZ,Arizona,3,<10
85,17.5,Elkton,MD,Maryland,3,<10
89.2,18,Eagar,AZ,Arizona,3,<10
87.4,20.6,DeLand,FL,Florida,3,<10
82.1,35.5,Dayton,OH,Ohio,3,<10
60.1,26.6,Compton,CA,California,3,<10
93.8,24.4,Columbia,MO,Missouri,3,<10
73.2,13.9,Citrus,CA,California,3,<10
79.5,34.6,Chester,PA,Pennsylvania,3,<10
67.6,39.9,Camden,NJ,New Jersey,3,<10
85.1,30.9,Birmingham,AL,Alabama,3,<10
90.3,15.4,Beaverton,OR,Oregon,3,<10
77.7,17.6,Azusa,CA,California,3,<10
79,18.6,Avondale,AZ,Arizona,3,<10
93,8.2,Anchorage,AK,Alaska,3,<10
81.3,19.2,Zion,IL,Illinois,2,<10
84,14.9,Wyoming,MI,Michigan,2,<10
83.3,12.5,Whittier,CA,California,2,<10
96.6,6.4,Wauwatosa,WI,Wisconsin,2,<10
91.8,11.7,Wasilla,AK,Alaska,2,<10
76.9,17.8,Vista,CA,California,2,<10
82.7,21.3,Visalia,CA,California,2,<10
87.4,18.3,Vallejo,CA,California,2,<10
87.2,23.3,Tupelo,MS,Mississippi,2,<10
84.7,26.1,Troy,NY,New York,2,<10
88.6,19.2,Topeka,KS,Kansas,2,<10
88.1,16.3,Taylors,SC,South Carolina,2,<10
92.5,29.7,Tallahassee,FL,Florida,2,<10
84.3,34.3,Tahlequah,OK,Oklahoma,2,<10
80.2,34.8,Syracuse,NY,New York,2,<10
87.7,15.4,Stockbridge,GA,Georgia,2,<10
82.3,27.2,Spartanburg,SC,South Carolina,2,<10
88.4,11.4,Southaven,MS,Mississippi,2,<10
83.4,16.9,Shelbyville,IN,Indiana,2,<10
86.9,18.2,Salem,OR,Oregon,2,<10
80.3,22.1,Roswell,NM,New Mexico,2,<10
68.1,34.3,Rossville,GA,Georgia,2,<10
91.9,9.5,Riverview,FL,Florida,2,<10
90.6,9.8,Ripon,CA,California,2,<10
67.4,19.7,Rialto,CA,California,2,<10
90.6,18.8,Redding,CA,California,2,<10
65.1,39.6,Reading,PA,Pennsylvania,2,<10
93.5,10,Randallstown,MD,Maryland,2,<10
90.5,16,Raleigh,NC,North Carolina,2,<10
80.4,21.1,Pulaski,VA,Virginia,2,<10
76.6,31.6,Princeton,WV,West Virginia,2,<10
92.8,15.5,Prescott,AZ,Arizona,2,<10
83.6,18.2,Portsmouth,VA,Virginia,2,<10
95.2,4.4,Pleasanton,CA,California,2,<10
91.4,22.9,Pittsburgh,PA,Pennsylvania,2,<10
82.4,19.6,Piedmont,SC,South Carolina,2,<10
74.2,21.3,Palmdale,CA,California,2,<10
85.5,19.8,Owensboro,KY,Kentucky,2,<10
84.2,13.2,Orange,CA,California,2,<10
82.3,22.9,Ogden,UT,Utah,2,<10
86.1,22.6,Ocala,FL,Florida,2,<10
86.6,14,Northglenn,CO,Colorado,2,<10
87.7,7.9,Newark,CA,California,2,<10
83,9.3,Midland,TX,Texas,2,<10
77.2,23,Metropolis,IL,Illinois,2,<10
89,13.8,Metairie,LA,Louisiana,2,<10
86.3,20.2,Marietta,GA,Georgia,2,<10
94.8,19,Madison,WI,Wisconsin,2,<10
92.2,9.7,Madison,OH,Ohio,2,<10
83.5,17.9,Longview,TX,Texas,2,<10
88.8,26.5,Logan,UT,Utah,2,<10
77.5,29.1,Lealman,FL,Florida,2,<10
79.8,15.6,Landover,MD,Maryland,2,<10
76.3,29,Lancaster,PA,Pennsylvania,2,<10
81.4,23.5,Lancaster,CA,California,2,<10
88.1,20.7,Lakewood,WA,Washington,2,<10
91.5,11.9,Lakewood,CO,Colorado,2,<10
85.7,15.6,Kerrville,TX,Texas,2,<10
89.6,14.6,Kentwood,MI,Michigan,2,<10
85.4,15.5,Kent,WA,Washington,2,<10
93,35.1,Kent,OH,Ohio,2,<10
83,30.6,Kelso,WA,Washington,2,<10
68.8,20.9,Iuka,MS,Mississippi,2,<10
92.6,16.4,Irmo,SC,South Carolina,2,<10
72.5,22.4,Inglewood,CA,California,2,<10
87.6,13.9,Hutchinson,KS,Kansas,2,<10
93.5,12.7,Homewood,AL,Alabama,2,<10
69.1,28.8,Homestead,FL,Florida,2,<10
84.3,17.5,Hickory,NC,North Carolina,2,<10
92.7,9.8,Henderson,NV,Nevada,2,<10
80.1,13.4,Hayward,CA,California,2,<10
94.5,17.7,Hays,KS,Kansas,2,<10
77.2,20.7,Harvey,LA,Louisiana,2,<10
84.6,24.2,Hardeeville,SC,South Carolina,2,<10
85.2,22.1,Hamilton,OH,Ohio,2,<10
86.6,15.8,Hackensack,NJ,New Jersey,2,<10
88.7,19.3,Greensboro,NC,North Carolina,2,<10
83.6,20.2,Greeley,CO,Colorado,2,<10
95.6,6.6,Gilbert,AZ,Arizona,2,<10
76.3,17.2,Garland,TX,Texas,2,<10
92.1,35.6,Gainesville,FL,Florida,2,<10
91.2,18.4,Fayetteville,NC,North Carolina,2,<10
91.7,24,Fayetteville,AR,Arkansas,2,<10
76.3,16.6,Evans,CO,Colorado,2,<10
90.3,12.2,Euless,TX,Texas,2,<10
93.5,24.4,Eugene,OR,Oregon,2,<10
88.3,16.3,Elizabethtown,KY,Kentucky,2,<10
88.3,24.5,Dunsmuir,CA,California,2,<10
91.2,9.2,Douglas,WY,Wyoming,2,<10
81,28.9,Dearborn,MI,Michigan,2,<10
75,19.3,Conroe,TX,Texas,2,<10
80.6,31.2,Columbus,MS,Mississippi,2,<10
83.1,29.3,Cocoa,FL,Florida,2,<10
76.8,16.9,Clanton,AL,Alabama,2,<10
77.7,11.6,Chino,CA,California,2,<10
83.4,18.4,Chickasha,OK,Oklahoma,2,<10
91.1,9.7,Chesapeake,VA,Virginia,2,<10
91.5,10,Chandler,AZ,Arizona,2,<10
91.7,4.8,Cerritos,CA,California,2,<10
91.8,10.5,Casper,WY,Wyoming,2,<10
81.2,14.9,Cartersville,GA,Georgia,2,<10
86.8,16.8,Carson,NV,Nevada,2,<10
93.4,16.6,Carmichael,CA,California,2,<10
93.9,11.2,Burnsville,MN,Minnesota,2,<10
89,24.8,Burlington,VT,Vermont,2,<10
83.3,18.2,Burien,WA,Washington,2,<10
82.2,27.3,Brooksville,FL,Florida,2,<10
84.9,18.1,Bradenton,FL,Florida,2,<10
87,11.4,Benton,AR,Arkansas,2,<10
95.2,12.5,Bend,OR,Oregon,2,<10
92.6,18.2,Belleville,IL,Illinois,2,<10
84.9,21.8,Beaumont,TX,Texas,2,<10
75.5,19.6,Baytown,TX,Texas,2,<10
79.8,33.7,Barstow,CA,California,2,<10
85.9,9.1,Azle,TX,Texas,2,<10
87.6,15.9,Auburn,WA,Washington,2,<10
81.8,10.9,Artesia,NM,New Mexico,2,<10
93.5,9,Arlington,VA,Virginia,2,<10
86.9,15.4,Antioch,CA,California,2,<10
